k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens
1,P0,18,0.3333333333333333,1,6,235.5,212.77777777777777,448.27777777777777
1,P1,18,1,1,71.66666666666667,377.5,148.77777777777777,526.2777777777778
1,P1-pad,18,1,1,102.66666666666667,415.5,142.5,558
1,P2,18,0.8333333333333334,0.8888888888888888,83,393.8333333333333,155.83333333333334,549.6666666666666
1,P3,18,1,1,102.66666666666667,417.5,140.77777777777777,558.2777777777778
1,P4,18,0.7777777777777778,0.8333333333333334,93,409.8333333333333,132.33333333333334,542.1666666666666
1,P5,18,1,1,84.66666666666667,398.5,147.77777777777777,546.2777777777778
1,adaptive,18,1,1,71.66666666666667,377.5,155.83333333333334,533.3333333333334
2,P0,18,0.3333333333333333,1,6,235.5,211.94444444444446,447.44444444444446
2,P1,18,1,1,71.66666666666667,377.5,165,542.5
2,P1-pad,18,1,1,102.66666666666667,415.5,139.94444444444446,555.4444444444445
2,P2,18,0.8333333333333334,0.8888888888888888,83,393.8333333333333,160.61111111111111,554.4444444444445
2,P3,18,1,1,102.66666666666667,417.5,141.83333333333334,559.3333333333334
2,P4,18,0.8888888888888888,0.8888888888888888,100,419.8333333333333,148.16666666666666,568
2,P5,18,1,1,84.66666666666667,398.5,150.94444444444446,549.4444444444445
2,adaptive,18,1,1,71.66666666666667,377.5,149.61111111111111,527.1111111111111
3,P0,18,0.3333333333333333,0.8333333333333334,6,235.5,198.05555555555554,433.55555555555554
3,P1,18,1,1,74.66666666666667,387.1666666666667,144.22222222222223,531.3888888888889
3,P1-pad,18,1,1,106.33333333333333,426,127.88888888888889,553.8888888888889
3,P2,18,0.8333333333333334,0.8888888888888888,86,403.8333333333333,151.44444444444446,555.2777777777778
3,P3,18,1,1,106.33333333333333,427.8333333333333,122.94444444444444,550.7777777777778
3,P4,18,0.7222222222222222,0.8333333333333334,110,439.8333333333333,125.5,565.3333333333334
