rich_condition,threshold_k,n,recovery_success_rate,mean_payload_tokens_proxy,mean_total_tokens
P3,1,144,1,108.35416666666667,541.7222222222222
P3,2,144,1,104.47916666666667,537.7222222222222
P3,3,144,1,100.60416666666667,535.6180555555555
P3,4,144,1,96.64583333333333,533.1944444444445
P3,5,144,0.9791666666666666,92.52083333333333,530.1180555555555
P3,6,144,0.9583333333333334,88.3125,527.2638888888889
P3,7,144,0.9166666666666666,84.02083333333333,525.4027777777778
P3,8,144,0.875,79.64583333333333,523.5138888888889
P3,9,144,0.8333333333333334,75.27083333333333,522.4583333333334
P5,1,144,1,88.95833333333333,528.4583333333334
P5,2,144,1,87.33333333333333,525.9583333333334
P5,3,144,1,85.70833333333333,525.0902777777778
P5,4,144,1,84.0625,523.8888888888889
P5,5,144,0.9791666666666666,82.35416666666667,522
P5,6,144,0.9583333333333334,80.625,520.8819444444445
P5,7,144,0.9166666666666666,78.85416666666667,520.7777777777778
P5,8,144,0.875,77.0625,521.25
P5,9,144,0.8333333333333334,75.27083333333333,522.4583333333334
