correct_action,condition,n,recovery_success_rate,action_accuracy
abandon,P0,147,0,0
abandon,P1,147,1,1
abandon,P1-pad,147,1,1
abandon,P2,147,1,1
abandon,P3,147,1,1
abandon,P4,147,1,1
abandon,P5,147,1,1
abandon,P5-oracle,147,1,1
abandon,adaptive,147,1,1
adapt,P0,165,0,1
adapt,P1,165,0.896969696969697,1
adapt,P1-pad,165,0.9151515151515152,1
adapt,P2,165,0.7636363636363637,0.8484848484848485
adapt,P3,165,0.9151515151515152,1
adapt,P4,165,0.6242424242424243,0.7212121212121212
adapt,P5,165,0.2727272727272727,0.2727272727272727
adapt,P5-oracle,165,0.9696969696969697,1
adapt,adaptive,165,0.4303030303030303,0.5393939393939394
escalate,P0,72,0,0
escalate,P1,72,0.2222222222222222,0.2222222222222222
escalate,P1-pad,72,0.125,0.125
escalate,P2,72,0.5277777777777778,0.5277777777777778
escalate,P3,72,0.2638888888888889,0.2638888888888889
escalate,P4,72,0.20833333333333334,0.20833333333333334
escalate,P5,72,0.6527777777777778,0.6527777777777778
escalate,P5-oracle,72,1,1
escalate,adaptive,72,0.6527777777777778,0.6527777777777778
