k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,policy_action_accuracy,mean_policy_tokens,mean_end_to_end_tokens
1,P0,24,0,1,6,234,185.91666666666666,419.9166666666667,,0,419.9166666666667
1,P1,24,0.8333333333333334,1,77.375,397.625,168.91666666666666,566.5416666666666,,0,566.5416666666666
1,P1-pad,24,0.875,1,94.125,421,166.33333333333334,587.3333333333334,,0,587.3333333333334
1,P2,24,0.75,0.875,88.5,413.75,162,575.75,,0,575.75
1,P3,24,0.9166666666666666,1,94.125,422.875,158.25,581.125,,0,581.125
1,P4,24,0.75,0.8333333333333334,98.5,429.75,163.5,593.25,,0,593.25
1,P5,24,0.375,0.375,107.625,440.875,118.75,559.625,0.375,448.25,1007.875
1,P5-oracle,24,0.9583333333333334,1,91.375,420.625,159.125,579.75,,0,579.75
1,adaptive,24,0.8333333333333334,1,77.375,397.625,167.54166666666666,565.1666666666666,,0,565.1666666666666
2,P0,24,0,1,6,234,191.66666666666666,425.6666666666667,,0,425.6666666666667
2,P1,24,0.7916666666666666,1,83.375,419.125,185.79166666666666,604.9166666666666,,0,604.9166666666666
2,P1-pad,24,0.7916666666666666,1,100.125,442.5,187.70833333333334,630.2083333333334,,0,630.2083333333334
2,P2,24,0.75,0.875,94.5,435.25,177.25,612.5,,0,612.5
2,P3,24,0.875,1,100.125,444.375,173.95833333333334,618.3333333333334,,0,618.3333333333334
2,P4,24,0.625,0.8333333333333334,111.5,461.25,193.08333333333334,654.3333333333334,,0,654.3333333333334
2,P5,24,0.375,0.375,117,466.5,123.08333333333333,589.5833333333334,0.25,457.875,1047.4583333333333
2,P5-oracle,24,0.9166666666666666,1,97.375,442.125,171.08333333333334,613.2083333333334,,0,613.2083333333334
2,adaptive,24,0.7916666666666666,1,83.375,419.125,178.16666666666666,597.2916666666666,,0,597.2916666666666
3,P0,24,0,0.875,6,234,204,438,,0,438
3,P1,24,0.7916666666666666,1,91.625,448.125,177.91666666666666,626.0416666666666,,0,626.0416666666666
3,P1-pad,24,0.7916666666666666,1,109.125,472.375,176.125,648.5,,0,648.5
3,P2,24,0.75,0.875,102.75,464.5,162.70833333333334,627.2083333333334,,0,627.2083333333334
3,P3,24,0.7916666666666666,1,109.125,474.25,171.25,645.5,,0,645.5
3,P4,24,0.5833333333333334,0.75,126.75,500.5,180.45833333333334,680.9583333333334,,0,680.9583333333334
3,P5,24,0.5,0.5,124.25,494.5,118.58333333333333,613.0833333333334,0.375,485.875,1098.9583333333333
3,P5-oracle,24,0.9166666666666666,1,105.75,471.375,161.875,633.25,,0,633.25
3,adaptive,24,0.7916666666666666,1,91.625,448.125,175.66666666666666,623.7916666666666,,0,623.7916666666666
4,P0,24,0,0.625,6,234,193.875,427.875,,0,427.875
4,P1,24,0.75,0.875,99.25,473.375,157.625,631,,0,631
4,P1-pad,24,0.8333333333333334,0.875,118.375,499.375,164.41666666666666,663.7916666666666,,0,663.7916666666666
4,P2,24,0.875,0.9583333333333334,110.375,489.875,164.54166666666666,654.4166666666666,,0,654.4166666666666
4,P3,24,0.9166666666666666,0.9583333333333334,118.375,500.875,155.54166666666666,656.4166666666666,,0,656.4166666666666
4,P4,24,0.5416666666666666,0.5833333333333334,141.375,535.875,148.08333333333334,683.9583333333334,,0,683.9583333333334
4,P5,24,0.25,0.25,129.625,516.875,104.41666666666667,621.2916666666666,0.375,508.5,1129.7916666666667
4,P5-oracle,24,1,1,113.75,497.25,154.41666666666666,651.6666666666666,,0,651.6666666666666
4,adaptive,24,0.25,0.25,129.625,516.875,113.33333333333333,630.2083333333334,0.375,508.5,1138.7083333333333
5,P0,24,0,0.5,6,234,193.125,427.125,,0,427.125
5,P1,24,0.875,0.875,105.25,495.875,159.29166666666666,655.1666666666666,,0,655.1666666666666
5,P1-pad,24,0.875,0.875,123.875,521.375,160.5,681.875,,0,681.875
5,P2,24,0.875,0.9166666666666666,116.25,512.375,148.41666666666666,660.7916666666666,,0,660.7916666666666
5,P3,24,0.9583333333333334,1,123.875,522.875,146.375,669.25,,0,669.25
5,P4,24,0.6666666666666666,0.6666666666666666,154.25,568.375,145.29166666666666,713.6666666666666,,0,713.6666666666666
5,P5,24,0.625,0.625,134.875,540.25,121.875,662.125,0.625,531.75,1193.875
5,P5-oracle,24,1,1,119.875,520,143.04166666666666,663.0416666666666,,0,663.0416666666666
5,adaptive,24,0.625,0.625,134.875,540.25,121.91666666666667,662.1666666666666,0.625,531.75,1193.9166666666667
6,P0,24,0,0.375,6,234,196.75,430.75,,0,430.75
6,P1,24,0.75,0.75,110.75,515.625,164.95833333333334,680.5833333333334,,0,680.5833333333334
6,P1-pad,24,0.75,0.75,129.375,541.125,167.5,708.625,,0,708.625
6,P2,24,0.875,0.875,121.75,532.25,130.95833333333334,663.2083333333334,,0,663.2083333333334
6,P3,24,0.7916666666666666,0.875,129.375,542.25,142.66666666666666,684.9166666666666,,0,684.9166666666666
6,P4,24,0.625,0.625,159.75,588.25,154.25,742.5,,0,742.5
6,P5,24,0.625,0.625,143.75,563.5,127.375,690.875,0.625,555.125,1246
6,P5-oracle,24,1,1,125.625,540.125,126.70833333333333,666.8333333333334,,0,666.8333333333334
6,adaptive,24,0.5416666666666666,0.625,143.75,563.5,135.79166666666666,699.2916666666666,0.625,555.125,1254.4166666666667
7,P0,24,0,0.25,6,234,182.54166666666666,416.5416666666667,,0,416.5416666666667
