k,comparator,baseline,n_pairs,n_episode_clusters,paired_success_difference,bootstrap_95_low,bootstrap_95_high
1,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
1,P1-pad,P1,24,8,0.041666666666666664,0.0,0.125
1,P2,P1,24,8,-0.08333333333333333,-0.25,0.0
1,P3,P1,24,8,0.08333333333333333,0.0,0.20833333333333331
1,P4,P1,24,8,-0.08333333333333331,-0.375,0.2916666666666667
1,P5,P1,24,8,-0.4583333333333333,-0.875,0.04166666666666667
1,P5-oracle,P1,24,8,0.125,0.0,0.375
1,adaptive,P1,24,8,0.0,0.0,0.0
2,P0,P1,24,8,-0.7916666666666666,-1.0,-0.5
2,P1-pad,P1,24,8,0.0,0.0,0.0
2,P2,P1,24,8,-0.041666666666666664,-0.125,0.0
2,P3,P1,24,8,0.08333333333333333,0.0,0.25
2,P4,P1,24,8,-0.16666666666666666,-0.3333333333333333,0.0
2,P5,P1,24,8,-0.4166666666666667,-0.75,-0.125
2,P5-oracle,P1,24,8,0.125,0.0,0.375
2,adaptive,P1,24,8,0.0,0.0,0.0
3,P0,P1,24,8,-0.7916666666666666,-1.0,-0.5
3,P1-pad,P1,24,8,0.0,0.0,0.0
3,P2,P1,24,8,-0.041666666666666664,-0.125,0.0
3,P3,P1,24,8,0.0,0.0,0.0
3,P4,P1,24,8,-0.20833333333333331,-0.4583333333333333,-0.041666666666666664
3,P5,P1,24,8,-0.2916666666666667,-0.5833333333333334,-0.041666666666666664
3,P5-oracle,P1,24,8,0.125,0.0,0.375
3,adaptive,P1,24,8,0.0,0.0,0.0
4,P0,P1,24,8,-0.75,-1.0,-0.375
4,P1-pad,P1,24,8,0.08333333333333333,0.0,0.25
4,P2,P1,24,8,0.125,0.0,0.375
4,P3,P1,24,8,0.16666666666666666,0.0,0.41666666666666663
4,P4,P1,24,8,-0.20833333333333331,-0.5,0.0
4,P5,P1,24,8,-0.5,-0.875,-0.125
4,P5-oracle,P1,24,8,0.25,0.0,0.5
4,adaptive,P1,24,8,-0.5,-0.875,-0.125
5,P0,P1,24,8,-0.875,-1.0,-0.625
5,P1-pad,P1,24,8,0.0,0.0,0.0
5,P2,P1,24,8,0.0,-0.375,0.375
5,P3,P1,24,8,0.08333333333333334,-0.125,0.375
5,P4,P1,24,8,-0.20833333333333334,-0.5833333333333334,0.08333333333333333
5,P5,P1,24,8,-0.25,-0.625,0.0
5,P5-oracle,P1,24,8,0.125,0.0,0.375
5,adaptive,P1,24,8,-0.25,-0.625,0.0
6,P0,P1,24,8,-0.75,-1.0,-0.375
6,P1-pad,P1,24,8,0.0,0.0,0.0
6,P2,P1,24,8,0.125,0.0,0.375
6,P3,P1,24,8,0.04166666666666667,-0.25,0.375
6,P4,P1,24,8,-0.125,-0.375,0.0
6,P5,P1,24,8,-0.125,-0.5,0.25
6,P5-oracle,P1,24,8,0.25,0.0,0.625
6,adaptive,P1,24,8,-0.20833333333333331,-0.625,0.25
7,P0,P1,24,8,-0.75,-1.0,-0.375
7,P1-pad,P1,24,8,0.0,0.0,0.0
7,P2,P1,24,8,0.125,0.0,0.375
7,P3,P1,24,8,0.08333333333333333,0.0,0.25
7,P4,P1,24,8,-0.08333333333333334,-0.375,0.125
7,P5,P1,24,8,0.0,-0.5,0.5
7,P5-oracle,P1,24,8,0.25,0.0,0.625
7,adaptive,P1,24,8,0.0,-0.5,0.5
8,P0,P1,24,8,-0.75,-1.0,-0.375
8,P1-pad,P1,24,8,0.0,0.0,0.0
8,P2,P1,24,8,0.125,0.0,0.375
8,P3,P1,24,8,0.125,0.0,0.375
8,P4,P1,24,8,-0.08333333333333333,-0.25,0.0
8,P5,P1,24,8,0.125,-0.25,0.5
8,P5-oracle,P1,24,8,0.25,0.0,0.5
8,adaptive,P1,24,8,0.125,-0.25,0.5
9,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
9,P1-pad,P1,24,8,-0.08333333333333333,-0.25,0.0
9,P2,P1,24,8,-0.08333333333333333,-0.25,0.0
9,P3,P1,24,8,0.0,0.0,0.0
9,P4,P1,24,8,-0.125,-0.29166666666666663,0.0
9,P5,P1,24,8,-0.08333333333333334,-0.5,0.3333333333333333
9,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
9,adaptive,P1,24,8,-0.08333333333333334,-0.5,0.3333333333333333
10,P0,P1,24,8,-0.875,-1.0,-0.625
10,P1-pad,P1,24,8,-0.08333333333333333,-0.25,0.0
10,P2,P1,24,8,-0.08333333333333333,-0.25,0.0
10,P3,P1,24,8,-0.041666666666666664,-0.125,0.0
10,P4,P1,24,8,-0.08333333333333333,-0.25,0.0
10,P5,P1,24,8,0.0,-0.375,0.375
10,P5-oracle,P1,24,8,0.125,0.0,0.375
10,adaptive,P1,24,8,0.0,-0.375,0.375
11,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
11,P1-pad,P1,24,8,-0.08333333333333333,-0.25,0.0
11,P2,P1,24,8,0.041666666666666664,0.0,0.125
11,P3,P1,24,8,-0.08333333333333333,-0.25,0.0
11,P4,P1,24,8,0.0,0.0,0.0
11,P5,P1,24,8,-0.08333333333333334,-0.5,0.3333333333333333
11,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
11,adaptive,P1,24,8,-0.08333333333333334,-0.5,0.3333333333333333
12,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
12,P1-pad,P1,24,8,0.0,0.0,0.0
12,P2,P1,24,8,0.041666666666666664,0.0,0.125
12,P3,P1,24,8,-0.041666666666666664,-0.125,0.0
12,P4,P1,24,8,-0.08333333333333333,-0.25,0.0
12,P5,P1,24,8,-0.20833333333333331,-0.625,0.25
12,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
12,adaptive,P1,24,8,-0.20833333333333331,-0.625,0.25
13,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
13,P1-pad,P1,24,8,0.0,0.0,0.0
13,P2,P1,24,8,-0.08333333333333334,-0.375,0.125
13,P3,P1,24,8,-0.08333333333333333,-0.25,0.0
13,P4,P1,24,8,0.041666666666666664,0.0,0.125
13,P5,P1,24,8,-0.04166666666666667,-0.3333333333333333,0.16666666666666666
13,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
13,adaptive,P1,24,8,-0.04166666666666667,-0.3333333333333333,0.16666666666666666
14,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5833333333333334
14,P1-pad,P1,24,8,-0.041666666666666664,-0.125,0.0
14,P2,P1,24,8,-0.08333333333333334,-0.375,0.125
14,P3,P1,24,8,-0.08333333333333333,-0.25,0.0
14,P4,P1,24,8,-0.20833333333333331,-0.5,0.0
14,P5,P1,24,8,-0.2916666666666667,-0.6666666666666666,0.04166666666666666
14,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
14,adaptive,P1,24,8,-0.2916666666666667,-0.625,0.04166666666666666
15,P0,P1,24,8,-0.8333333333333334,-1.0,-0.5416666666666666
15,P1-pad,P1,24,8,0.041666666666666664,0.0,0.125
15,P2,P1,24,8,-0.041666666666666664,-0.25,0.125
15,P3,P1,24,8,-0.041666666666666664,-0.125,0.0
15,P4,P1,24,8,-0.16666666666666666,-0.4166666666666667,0.0
15,P5,P1,24,8,-0.20833333333333334,-0.5833333333333334,0.08333333333333333
15,P5-oracle,P1,24,8,0.16666666666666666,0.0,0.4166666666666667
15,adaptive,P1,24,8,-0.20833333333333334,-0.5833333333333334,0.08333333333333333
16,P0,P1,24,8,-0.7916666666666666,-1.0,-0.5
16,P1-pad,P1,24,8,-0.041666666666666664,-0.125,0.0
16,P2,P1,24,8,-0.04166666666666667,-0.375,0.25
16,P3,P1,24,8,-0.041666666666666664,-0.125,0.0
16,P4,P1,24,8,-0.125,-0.375,0.0
16,P5,P1,24,8,-0.16666666666666669,-0.5,0.16666666666666666
16,P5-oracle,P1,24,8,0.20833333333333331,0.0,0.5
16,adaptive,P1,24,8,-0.16666666666666669,-0.5416666666666666,0.16666666666666666
