comparator,baseline,stratum_type,stratum,n_pairs,n_episode_clusters,paired_success_difference,bootstrap_95_low,bootstrap_95_high,discordant_gains,discordant_losses,cluster_randomization_p
P0,P1,overall,all,384,128,-0.8098958333333334,-0.8723958333333334,-0.7447916666666666,0,311,9.999000099990002e-05
P1-pad,P1,overall,all,384,128,-0.010416666666666666,-0.03645833333333333,0.010416666666666666,5,9,0.5156484351564844
P2,P1,overall,all,384,128,4.336808689942018e-19,-0.0546875,0.052083333333333336,22,22,1.0
P3,P1,overall,all,384,128,0.015625,-0.026041666666666664,0.057291666666666664,20,14,0.5096490350964904
P4,P1,overall,all,384,128,-0.11979166666666666,-0.17708333333333334,-0.06770833333333333,6,52,9.999000099990002e-05
P5,P1,overall,all,384,128,-0.1875,-0.2838541666666667,-0.09375,38,110,0.0004999500049995
P5-oracle,P1,overall,all,384,128,0.17708333333333334,0.11458333333333333,0.2421875,70,2,9.999000099990002e-05
adaptive,P1,overall,all,384,128,-0.11979166666666667,-0.2109375,-0.028645833333333332,36,82,0.012698730126987301
P3,P1,k_band,k1-4,96,32,0.08333333333333333,0.020833333333333332,0.15625,9,1,0.06109389061093891
P3,P1,k_band,k5-8,96,32,0.08333333333333333,-0.020833333333333332,0.20833333333333334,11,3,0.282971702829717
P3,P1,k_band,k9-12,96,32,-0.041666666666666664,-0.09375,0.0,0,4,0.25037496250374963
P3,P1,k_band,k13-16,96,32,-0.0625,-0.125,-0.010416666666666666,0,6,0.12148785121487851
P3,P1,correct_action,abandon,147,49,0.0,0.0,0.0,0,0,1.0
P3,P1,action_by_k_band,abandon:k1-4,9,3,0.0,0.0,0.0,0,0,1.0
P3,P1,action_by_k_band,abandon:k5-8,42,14,0.0,0.0,0.0,0,0,1.0
P3,P1,action_by_k_band,abandon:k9-12,48,16,0.0,0.0,0.0,0,0,1.0
P3,P1,action_by_k_band,abandon:k13-16,48,16,0.0,0.0,0.0,0,0,1.0
P3,P1,correct_action,adapt,165,55,0.01818181818181818,-0.024242424242424242,0.06666666666666667,7,4,0.6286371362863714
P3,P1,action_by_k_band,adapt:k1-4,84,28,0.07142857142857142,0.011904761904761904,0.14285714285714285,7,1,0.12298770122987701
P3,P1,action_by_k_band,adapt:k5-8,33,11,-0.0909090909090909,-0.2424242424242424,0.0,0,3,0.4928507149285071
P3,P1,action_by_k_band,adapt:k9-12,24,8,0.0,0.0,0.0,0,0,1.0
P3,P1,action_by_k_band,adapt:k13-16,24,8,0.0,0.0,0.0,0,0,1.0
P3,P1,correct_action,escalate,72,24,0.04166666666666667,-0.1388888888888889,0.25,13,10,0.5993400659934006
P3,P1,action_by_k_band,escalate:k1-4,3,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,1.0
P3,P1,action_by_k_band,escalate:k5-8,21,7,0.5238095238095238,0.14285714285714285,0.8571428571428571,11,0,0.125987401259874
P3,P1,action_by_k_band,escalate:k9-12,24,8,-0.16666666666666666,-0.3333333333333333,-0.041666666666666664,0,4,0.24047595240475952
P3,P1,action_by_k_band,escalate:k13-16,24,8,-0.25,-0.4583333333333333,-0.08333333333333333,0,6,0.12498750124987501
