rich_condition,threshold_k,n,recovery_success_rate,mean_payload_tokens_proxy,mean_total_tokens
P3,1,384,0.8255208333333334,144.140625,765.5390625
P3,2,384,0.8203125,143.09375,764.6276041666666
P3,3,384,0.8151041666666666,142.046875,763.7890625
P3,4,384,0.8151041666666666,140.953125,762.5729166666666
P3,5,384,0.8046875,139.7578125,760.984375
P3,6,384,0.7994791666666666,138.59375,760.1041666666666
P3,7,384,0.796875,137.4296875,759.8333333333334
P3,8,384,0.7916666666666666,136.265625,759.203125
P3,9,384,0.7838541666666666,135.1015625,758.6015625
P3,10,384,0.7838541666666666,133.9375,757.5442708333334
P3,11,384,0.7864583333333334,132.7734375,755.8411458333334
P3,12,384,0.7916666666666666,131.609375,754.78125
P3,13,384,0.7942708333333334,130.4453125,753.625
P3,14,384,0.7994791666666666,129.28125,752.5755208333334
P3,15,384,0.8046875,128.1171875,751.6119791666666
P3,16,384,0.8072916666666666,126.953125,750.3125
P3,17,384,0.8098958333333334,125.7890625,748.8046875
P5,1,384,0.6223958333333334,155.7578125,731.0625
P5,2,384,0.6510416666666666,153.8671875,731.4947916666666
P5,3,384,0.6770833333333334,151.765625,732.453125
P5,4,384,0.6953125,149.7265625,733.2630208333334
P5,5,384,0.7265625,147.828125,733.8697916666666
P5,6,384,0.7421875,145.9765625,733.4348958333334
P5,7,384,0.75,143.9140625,732.7916666666666
P5,8,384,0.75,142.1328125,733.7682291666666
P5,9,384,0.7421875,140.3203125,734.1171875
P5,10,384,0.7473958333333334,138.5390625,735.5963541666666
P5,11,384,0.7473958333333334,136.6484375,735.4791666666666
P5,12,384,0.7526041666666666,134.8515625,737.6848958333334
P5,13,384,0.765625,132.9765625,738.71875
P5,14,384,0.7682291666666666,130.953125,739.9661458333334
P5,15,384,0.7864583333333334,129.3203125,741.1692708333334
P5,16,384,0.7994791666666666,127.578125,744.7604166666666
P5,17,384,0.8098958333333334,125.7890625,748.8046875
