k,condition,n,recovery_success_rate,action_accuracy,mean_payload_tokens_proxy,mean_prompt_tokens,mean_completion_tokens,mean_total_tokens,policy_action_accuracy,mean_policy_tokens,mean_end_to_end_tokens
1,P0,18,0.3333333333333333,1,6,235.5,186.61111111111111,422.1111111111111,,0,422.1111111111111
1,P1,18,1,1,71.66666666666667,377.5,160,537.5,,0,537.5
1,P1-pad,18,1,1,102.66666666666667,415.5,143.61111111111111,559.1111111111111,,0,559.1111111111111
1,P2,18,0.8333333333333334,0.8333333333333334,83,393.8333333333333,155.27777777777777,549.1111111111111,,0,549.1111111111111
1,P3,18,1,1,102.66666666666667,417.5,139.61111111111111,557.1111111111111,,0,557.1111111111111
1,P4,18,0.8333333333333334,0.8333333333333334,93,409.8333333333333,136.61111111111111,546.4444444444445,,0,546.4444444444445
1,P5,18,0.8333333333333334,0.8333333333333334,100.5,420.1666666666667,150.55555555555554,570.7222222222222,0.8333333333333334,412.5,983.2222222222222
1,P5-oracle,18,1,1,85.66666666666667,400.5,143.88888888888889,544.3888888888889,,0,544.3888888888889
1,adaptive,18,1,1,71.66666666666667,377.5,166,543.5,,0,543.5
2,P0,18,0.3333333333333333,1,6,235.5,207.38888888888889,442.8888888888889,,0,442.8888888888889
2,P1,18,1,1,71.66666666666667,377.5,159.5,537,,0,537
2,P1-pad,18,1,1,102.66666666666667,415.5,142.16666666666666,557.6666666666666,,0,557.6666666666666
2,P2,18,0.8333333333333334,0.8888888888888888,83,393.8333333333333,159,552.8333333333334,,0,552.8333333333334
2,P3,18,1,1,102.66666666666667,417.5,140.77777777777777,558.2777777777778,,0,558.2777777777778
2,P4,18,0.8888888888888888,0.8888888888888888,100,419.8333333333333,143.61111111111111,563.4444444444445,,0,563.4444444444445
2,P5,18,0.6666666666666666,0.6666666666666666,102.66666666666667,422.3333333333333,133.44444444444446,555.7777777777778,0.6666666666666666,414.8333333333333,970.6111111111111
2,P5-oracle,18,1,1,85.66666666666667,400.5,142.66666666666666,543.1666666666666,,0,543.1666666666666
2,adaptive,18,0.9444444444444444,1,71.66666666666667,377.5,169.72222222222223,547.2222222222222,,0,547.2222222222222
3,P0,18,0.3333333333333333,0.8333333333333334,6,235.5,211.33333333333334,446.8333333333333,,0,446.8333333333333
3,P1,18,1,1,74.66666666666667,387.1666666666667,143.94444444444446,531.1111111111111,,0,531.1111111111111
3,P1-pad,18,1,1,106.33333333333333,426,130.11111111111111,556.1111111111111,,0,556.1111111111111
3,P2,18,0.7777777777777778,0.8333333333333334,86,403.8333333333333,120.77777777777777,524.6111111111111,,0,524.6111111111111
3,P3,18,1,1,106.33333333333333,427.8333333333333,128.38888888888889,556.2222222222222,,0,556.2222222222222
3,P4,18,0.7222222222222222,0.8333333333333334,110,439.8333333333333,133.22222222222223,573.0555555555555,,0,573.0555555555555
3,P5,18,0.6666666666666666,0.6666666666666666,105.16666666666667,431,134.44444444444446,565.4444444444445,0.6666666666666666,423.6666666666667,989.1111111111111
3,P5-oracle,18,1,1,88.83333333333333,410.5,127.77777777777777,538.2777777777778,,0,538.2777777777778
3,adaptive,18,1,1,74.66666666666667,387.1666666666667,130.38888888888889,517.5555555555555,,0,517.5555555555555
4,P0,18,0,0.5,6,235.5,198.11111111111111,433.6111111111111,,0,433.6111111111111
4,P1,18,0.8333333333333334,0.8333333333333334,76.83333333333333,392.1666666666667,128.38888888888889,520.5555555555555,,0,520.5555555555555
4,P1-pad,18,0.8333333333333334,0.8333333333333334,109.83333333333333,432.6666666666667,117.22222222222223,549.8888888888889,,0,549.8888888888889
4,P2,18,0.8333333333333334,0.8333333333333334,88.16666666666667,409,109,518,,0,518
4,P3,18,1,1,109.83333333333333,434.5,109.83333333333333,544.3333333333334,,0,544.3333333333334
4,P4,18,0.8333333333333334,0.8333333333333334,119.16666666666667,455,116.66666666666667,571.6666666666666,,0,571.6666666666666
4,P5,18,0.6666666666666666,0.6666666666666666,106.33333333333333,434.8333333333333,97.94444444444444,532.7777777777778,0.6666666666666666,427.8333333333333,960.6111111111111
4,P5-oracle,18,1,1,91.5,416.3333333333333,114.05555555555556,530.3888888888889,,0,530.3888888888889
4,adaptive,18,0.6666666666666666,0.6666666666666666,106.33333333333333,434.8333333333333,95.11111111111111,529.9444444444445,0.6666666666666666,427.8333333333333,957.7777777777778
5,P0,18,0,0.3333333333333333,6,235.5,196.11111111111111,431.6111111111111,,0,431.6111111111111
