rich_condition,threshold_k,n,recovery_success_rate,mean_payload_tokens_proxy,mean_total_tokens
P3,1,144,1,108.35416666666667,542.0625
P3,2,144,1,104.47916666666667,539.6111111111111
P3,3,144,1,100.60416666666667,536.9513888888889
P3,4,144,1,96.64583333333333,533.8125
P3,5,144,0.9791666666666666,92.52083333333333,530.8402777777778
P3,6,144,0.9583333333333334,88.3125,529.0625
P3,7,144,0.9166666666666666,84.02083333333333,526.7986111111111
P3,8,144,0.875,79.64583333333333,524.5694444444445
P3,9,144,0.8333333333333334,75.27083333333333,523.7986111111111
P5,1,144,0.8125,104.22916666666667,540.7083333333334
P5,2,144,0.8333333333333334,100.625,536.5555555555555
P5,3,144,0.875,96.75,534.2083333333334
P5,4,144,0.9166666666666666,92.9375,529.9166666666666
P5,5,144,0.9375,89.25,528.3888888888889
P5,6,144,0.9375,85.64583333333333,528.5486111111111
P5,7,144,0.8958333333333334,81.97916666666667,526.5277777777778
P5,8,144,0.875,78.77083333333333,524.3541666666666
P5,9,144,0.8333333333333334,75.27083333333333,523.7986111111111
