episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,10,410,abandon,abandon,True,True,False,True,False,8726,8684,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,The current file already implements the required chained alias resolution with cycle rejection.
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,11,410,abandon,abandon,True,True,False,True,False,8730,8684,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,"The current file already implements the required chained alias resolution with cycle rejection, fulfilling the task."
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,12,410,abandon,abandon,True,True,False,True,False,8730,8684,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,"The current file already implements the required chained alias resolution with cycle rejection, fulfilling the task."
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,13,410,abandon,abandon,True,True,False,True,False,8730,8684,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,"The current file already implements the required chained alias resolution with cycle rejection, fulfilling the task."
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,14,410,abandon,abandon,True,True,False,True,False,8726,8684,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,The current file already implements the required chained alias resolution with cycle rejection.
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,15,410,abandon,abandon,True,True,False,True,False,8730,8684,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,"The current file already implements the required chained alias resolution with cycle rejection, fulfilling the task."
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,16,410,abandon,abandon,True,True,False,True,False,8726,8684,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,The current file already implements the required chained alias resolution with cycle rejection.
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,17,410,abandon,abandon,True,True,False,True,False,8726,8684,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,The current file already implements the required chained alias resolution with cycle rejection.
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,18,410,abandon,abandon,True,True,False,True,False,8726,8684,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,The current file already implements the required chained alias resolution with cycle rejection.
alias_resolution-abandon-k8,rebuilt-action-crossed-corpus,8,0.9375,2360,P1,P1,19,410,abandon,abandon,True,True,False,True,False,8730,8684,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.047213265776140025,"The current file already implements the required chained alias resolution with cycle rejection, fulfilling the task."
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,10,385,adapt,abandon,False,False,False,False,False,8707,8659,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,"The current file already implements the required task of resolving chained aliases with cycle rejection, fulfilling the assignment."
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,11,385,adapt,adapt,True,True,True,True,False,8861,8659,202,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,Replaced the single-step logic with a loop to resolve chained aliases while preserving cycle detection and the new default parameter.
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,12,385,adapt,abandon,False,False,False,False,False,8703,8659,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,The current file already implements the required task of resolving chained aliases with cycle rejection.
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,13,385,adapt,abandon,False,False,False,False,False,8711,8659,52,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,"The current file already fulfills the task of resolving chained aliases while preserving cycle rejection, so no further edit is needed."
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,14,385,adapt,abandon,False,False,False,False,False,8705,8659,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,"The current file already implements the required cycle rejection logic, fulfilling the task without further edits."
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,15,385,adapt,adapt,True,True,True,True,False,8867,8659,208,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,Replaced the buggy single-step logic with a loop to resolve chained aliases while preserving cycle detection and the new default parameter.
alias_resolution-adapt-k8,rebuilt-action-crossed-corpus,8,0.7692307692307693,2360,P1,P1,16,385,adapt,abandon,False,False,False,False,False,8709,8659,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.0444624090541633,"The current file already fulfills the task of resolving chained aliases with cycle rejection, despite the added revision constants."
