episode_id,family,correct_action,k,n_seeds,n_valid_seeds,invalid_response_count,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
alias_resolution-abandon-k8,alias_resolution,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
alias_resolution-adapt-k8,alias_resolution,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
alias_resolution-escalate-k8,alias_resolution,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
boolean_parsing-abandon-k8,boolean_parsing,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
boolean_parsing-adapt-k8,boolean_parsing,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
boolean_parsing-escalate-k8,boolean_parsing,escalate,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
bounded_score-abandon-k8,bounded_score,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
bounded_score-adapt-k8,bounded_score,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
bounded_score-escalate-k8,bounded_score,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
cache_configuration-abandon-k8,cache_configuration,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
cache_configuration-adapt-k8,cache_configuration,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
cache_configuration-escalate-k8,cache_configuration,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
checksum_verification-abandon-k8,checksum_verification,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
checksum_verification-adapt-k8,checksum_verification,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
checksum_verification-escalate-k8,checksum_verification,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
configuration_merge-abandon-k8,configuration_merge,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
configuration_merge-adapt-k8,configuration_merge,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
configuration_merge-escalate-k8,configuration_merge,escalate,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
deadline_budget-abandon-k8,deadline_budget,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
deadline_budget-adapt-k8,deadline_budget,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
deadline_budget-escalate-k8,deadline_budget,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
dependency_readiness-abandon-k8,dependency_readiness,abandon,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
dependency_readiness-adapt-k8,dependency_readiness,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
dependency_readiness-escalate-k8,dependency_readiness,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
email_normalization-abandon-k8,email_normalization,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
email_normalization-adapt-k8,email_normalization,adapt,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
email_normalization-escalate-k8,email_normalization,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
event_coalescing-abandon-k8,event_coalescing,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
event_coalescing-adapt-k8,event_coalescing,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
event_coalescing-escalate-k8,event_coalescing,escalate,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
header_parsing-abandon-k8,header_parsing,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
header_parsing-adapt-k8,header_parsing,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
header_parsing-escalate-k8,header_parsing,escalate,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
interval_overlap-abandon-k8,interval_overlap,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
interval_overlap-adapt-k8,interval_overlap,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
interval_overlap-escalate-k8,interval_overlap,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
item_chunking-abandon-k8,item_chunking,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
item_chunking-adapt-k8,item_chunking,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
item_chunking-escalate-k8,item_chunking,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
job_scheduling-abandon-k8,job_scheduling,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
job_scheduling-adapt-k8,job_scheduling,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
job_scheduling-escalate-k8,job_scheduling,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
label_rendering-abandon-k8,label_rendering,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
label_rendering-adapt-k8,label_rendering,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
label_rendering-escalate-k8,label_rendering,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
memoization_key-abandon-k8,memoization_key,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
memoization_key-adapt-k8,memoization_key,adapt,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
memoization_key-escalate-k8,memoization_key,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
metric_averaging-abandon-k8,metric_averaging,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
metric_averaging-adapt-k8,metric_averaging,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
metric_averaging-escalate-k8,metric_averaging,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
name_filtering-abandon-k8,name_filtering,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
name_filtering-adapt-k8,name_filtering,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
name_filtering-escalate-k8,name_filtering,escalate,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
ordered_deduplication-abandon-k8,ordered_deduplication,abandon,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
ordered_deduplication-adapt-k8,ordered_deduplication,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
ordered_deduplication-escalate-k8,ordered_deduplication,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
page_window-abandon-k8,page_window,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
page_window-adapt-k8,page_window,adapt,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
page_window-escalate-k8,page_window,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
path_joining-abandon-k8,path_joining,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
path_joining-adapt-k8,path_joining,adapt,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
path_joining-escalate-k8,path_joining,escalate,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
query_encoding-abandon-k8,query_encoding,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
query_encoding-adapt-k8,query_encoding,adapt,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
query_encoding-escalate-k8,query_encoding,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
quota_allocation-abandon-k8,quota_allocation,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
quota_allocation-adapt-k8,quota_allocation,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
quota_allocation-escalate-k8,quota_allocation,escalate,8,3,3,0,0.6666666666666666,8000,True,True,False,True,
range_validation-abandon-k8,range_validation,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
range_validation-adapt-k8,range_validation,adapt,8,3,3,0,0.3333333333333333,8000,True,False,False,True,
range_validation-escalate-k8,range_validation,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
record_indexing-abandon-k8,record_indexing,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
record_indexing-adapt-k8,record_indexing,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
record_indexing-escalate-k8,record_indexing,escalate,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
retry_backoff-abandon-k8,retry_backoff,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
retry_backoff-adapt-k8,retry_backoff,adapt,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
retry_backoff-escalate-k8,retry_backoff,escalate,8,3,3,0,0,8000,True,False,True,False,outside_30_70_band
scope_authorization-abandon-k8,scope_authorization,abandon,8,3,3,0,1,8000,True,False,False,False,outside_30_70_band
