episode_id,family,correct_action,k,n_seeds,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
authorization-k1,authorization,adapt,1,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k10,authorization,escalate,10,3,1,0,True,False,False,False,context_below_8000;outside_30_70_band
authorization-k11,authorization,escalate,11,3,0.6666666666666666,0,True,True,False,False,context_below_8000
authorization-k12,authorization,escalate,12,3,0.6666666666666666,0,True,True,False,False,context_below_8000
authorization-k13,authorization,escalate,13,3,0.6666666666666666,0,True,True,False,False,context_below_8000
authorization-k14,authorization,escalate,14,3,0.6666666666666666,0,True,True,False,False,context_below_8000
authorization-k15,authorization,escalate,15,3,0.6666666666666666,0,True,True,False,False,context_below_8000
authorization-k16,authorization,escalate,16,3,0.3333333333333333,0,True,False,False,False,context_below_8000
authorization-k2,authorization,adapt,2,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k3,authorization,adapt,3,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k4,authorization,escalate,4,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k5,authorization,escalate,5,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k6,authorization,escalate,6,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k7,authorization,escalate,7,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k8,authorization,escalate,8,3,0,0,True,False,True,False,context_below_8000;outside_30_70_band
authorization-k9,authorization,escalate,9,3,0.6666666666666666,0,True,True,False,False,context_below_8000
cache-k1,cache,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k10,cache,abandon,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k11,cache,abandon,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k12,cache,abandon,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k13,cache,abandon,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k14,cache,abandon,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k15,cache,abandon,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k16,cache,abandon,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k2,cache,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k3,cache,abandon,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k4,cache,abandon,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k5,cache,abandon,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k6,cache,abandon,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k7,cache,abandon,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k8,cache,abandon,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
cache-k9,cache,abandon,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k1,deduplication,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k10,deduplication,adapt,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k11,deduplication,adapt,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k12,deduplication,adapt,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k13,deduplication,adapt,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k14,deduplication,adapt,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k15,deduplication,adapt,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k16,deduplication,adapt,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k2,deduplication,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k3,deduplication,adapt,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k4,deduplication,adapt,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k5,deduplication,adapt,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k6,deduplication,adapt,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k7,deduplication,adapt,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k8,deduplication,adapt,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
deduplication-k9,deduplication,adapt,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k1,formatting,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k10,formatting,abandon,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k11,formatting,abandon,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k12,formatting,abandon,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k13,formatting,abandon,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k14,formatting,abandon,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k15,formatting,abandon,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k16,formatting,abandon,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k2,formatting,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k3,formatting,adapt,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k4,formatting,adapt,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k5,formatting,abandon,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k6,formatting,abandon,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k7,formatting,abandon,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k8,formatting,abandon,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
formatting-k9,formatting,abandon,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k1,normalization,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k10,normalization,abandon,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k11,normalization,abandon,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k12,normalization,abandon,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k13,normalization,abandon,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k14,normalization,abandon,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k15,normalization,abandon,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k16,normalization,abandon,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k2,normalization,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k3,normalization,adapt,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k4,normalization,abandon,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k5,normalization,abandon,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k6,normalization,abandon,6,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k7,normalization,abandon,7,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k8,normalization,abandon,8,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
normalization-k9,normalization,abandon,9,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k1,pagination,adapt,1,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k10,pagination,adapt,10,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k11,pagination,adapt,11,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k12,pagination,adapt,12,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k13,pagination,adapt,13,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k14,pagination,adapt,14,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k15,pagination,adapt,15,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k16,pagination,adapt,16,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k2,pagination,adapt,2,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k3,pagination,adapt,3,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k4,pagination,adapt,4,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
pagination-k5,pagination,adapt,5,3,1,0,False,False,False,False,context_below_8000;zero_within_family_variance;outside_30_70_band
