episode_id,family,correct_action,k,n_seeds,n_valid_seeds,invalid_response_count,p1_success_rate,minimum_realised_context_tokens,within_family_variance,in_40_70_band,floor_control,admitted,exclusion_reasons
bounded_append-abandon-k8,bounded_append,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
bounded_append-adapt-k8,bounded_append,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
bounded_append-escalate-k8,bounded_append,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
capped_advance-abandon-k8,capped_advance,abandon,8,10,10,0,0.7,8000,True,True,False,True,
capped_advance-adapt-k8,capped_advance,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
capped_advance-escalate-k8,capped_advance,escalate,8,10,10,0,0.3,8000,True,False,False,True,
casefold_counts-abandon-k8,casefold_counts,abandon,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
casefold_counts-adapt-k8,casefold_counts,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
casefold_counts-escalate-k8,casefold_counts,escalate,8,10,10,0,0.3,8000,True,False,False,True,
casefold_lookup-abandon-k8,casefold_lookup,abandon,8,10,10,0,0.9,8000,True,False,False,False,outside_30_70_band
casefold_lookup-adapt-k8,casefold_lookup,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
casefold_lookup-escalate-k8,casefold_lookup,escalate,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
centered_slice-abandon-k8,centered_slice,abandon,8,10,10,0,0.4,8000,True,True,False,True,
centered_slice-adapt-k8,centered_slice,adapt,8,10,10,0,0.8,8000,True,False,False,False,outside_30_70_band
centered_slice-escalate-k8,centered_slice,escalate,8,10,10,0,0.4,8000,True,True,False,True,
default_port-abandon-k8,default_port,abandon,8,10,10,0,0.6,8000,True,True,False,True,
default_port-adapt-k8,default_port,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
default_port-escalate-k8,default_port,escalate,8,10,10,0,0.5,8000,True,True,False,True,
dot_segment_paths-abandon-k8,dot_segment_paths,abandon,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
dot_segment_paths-adapt-k8,dot_segment_paths,adapt,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
dot_segment_paths-escalate-k8,dot_segment_paths,escalate,8,10,10,0,1,8000,False,False,False,False,zero_within_family_variance;outside_30_70_band
duplicate_inversion-abandon-k8,duplicate_inversion,abandon,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
duplicate_inversion-adapt-k8,duplicate_inversion,adapt,8,10,10,0,0.6,8000,True,True,False,True,
duplicate_inversion-escalate-k8,duplicate_inversion,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
exponential_delays-abandon-k8,exponential_delays,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
exponential_delays-adapt-k8,exponential_delays,adapt,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
exponential_delays-escalate-k8,exponential_delays,escalate,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
field_projection-abandon-k8,field_projection,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
field_projection-adapt-k8,field_projection,adapt,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
field_projection-escalate-k8,field_projection,escalate,8,10,10,0,0,8000,True,False,True,False,outside_30_70_band
header_canonicalization-abandon-k8,header_canonicalization,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
header_canonicalization-adapt-k8,header_canonicalization,adapt,8,10,10,0,0.2,8000,True,False,False,False,outside_30_70_band
header_canonicalization-escalate-k8,header_canonicalization,escalate,8,10,10,0,0.3,8000,True,False,False,True,
inclusive_steps-abandon-k8,inclusive_steps,abandon,8,10,10,0,1,8000,True,False,False,False,outside_30_70_band
