episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,0,306,abandon,abandon,True,True,False,True,False,8736,8688,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,1,306,abandon,abandon,True,True,False,True,False,8736,8688,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,2,306,abandon,abandon,True,True,False,True,False,8737,8688,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,The current file already implements the required `drop_oldest` behavior and preserves the overflow rejection invariant.
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,3,306,abandon,abandon,True,True,False,True,False,8730,8688,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,4,306,abandon,abandon,True,True,False,True,False,8737,8688,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,"The current file already implements the required task with the correct signature and behavior, making the rejected edit obsolete."
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,5,306,abandon,abandon,True,True,False,True,False,8730,8688,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,6,306,abandon,abandon,True,True,False,True,False,8737,8688,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,The current file already implements the requested `drop_oldest` behavior and preserves the overflow rejection invariant.
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,7,306,abandon,abandon,True,True,False,True,False,8736,8688,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,8,306,abandon,abandon,True,True,False,True,False,8737,8688,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,9,306,abandon,abandon,True,True,False,True,False,8736,8688,48,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
