episode_id,repo,edit_distance_writes,semantic_ratio,investment_tokens,requested_condition,selected_condition,seed,payload_tokens,correct_action,action,action_correct,recovery_success,accepted_write,touched_tests_pass,repeat_refusal,recovery_tokens,model_prompt_tokens,model_completion_tokens,recovery_tool_calls,policy_action,policy_action_correct,policy_prompt_tokens,policy_completion_tokens,policy_wall_clock_seconds,policy_source,payload_action,payload_action_correct,deferred_to_payload,receiver_context_target_tokens,receiver_trajectory_tokens,refusal_position,payload_context_ratio,notes
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,16,306,abandon,abandon,True,True,False,True,False,8737,8688,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,The current file already implements the requested `drop_oldest` feature and preserves the overflow rejection invariant.
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,17,306,abandon,abandon,True,True,False,True,False,8730,8688,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-abandon-k8,rebuilt-action-crossed-corpus,8,0.8571428571428571,2300,P1,P1,18,306,abandon,abandon,True,True,False,True,False,8730,8688,42,0,,,0,0,0.0,,,,,8000,8000,tail,0.03522099447513812,
bounded_append-adapt-k8,rebuilt-action-crossed-corpus,8,0.7142857142857143,2300,P1,P1,16,254,adapt,adapt,True,False,False,False,False,8852,8636,216,0,,,0,0,0.0,,,,,8000,8000,tail,0.029411764705882353,The file was rejected because it missed the new `copy` parameter and invariant; this version rebases the logic to include `copy` and `drop_oldest` while preserving the existing revision constant.
bounded_append-adapt-k8,rebuilt-action-crossed-corpus,8,0.7142857142857143,2300,P1,P1,17,254,adapt,adapt,True,False,False,False,False,8845,8636,209,0,,,0,0,0.0,,,,,8000,8000,tail,0.029411764705882353,The file was rejected because the current version lacks the required `drop_oldest` parameter; this adaptation adds it while preserving the existing `copy` logic and invariant.
bounded_append-adapt-k8,rebuilt-action-crossed-corpus,8,0.7142857142857143,2300,P1,P1,18,254,adapt,adapt,True,False,False,False,False,8836,8636,200,0,,,0,0,0.0,,,,,8000,8000,tail,0.029411764705882353,The edit adapts the current file to add the optional drop_oldest behavior while preserving the existing copy parameter and invariant.
bounded_append-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2300,P1,P1,16,255,escalate,abandon,False,False,False,False,False,8683,8637,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.029524140326502257,"The current file already includes the requested signature and a contract note, fulfilling the task requirements."
bounded_append-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2300,P1,P1,17,255,escalate,abandon,False,False,False,False,False,8683,8637,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.029524140326502257,"The current file already includes the requested signature and invariant, fulfilling the task without further edits."
bounded_append-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2300,P1,P1,18,255,escalate,abandon,False,False,False,False,False,8687,8637,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.029524140326502257,"The current file already includes the `drop_oldest` parameter, fulfilling the task requirements without further changes."
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,16,231,abandon,abandon,True,True,False,True,False,8584,8538,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The current file already implements the optional maximum parameter and preserves the original step behavior as required.
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,17,231,abandon,abandon,True,True,False,True,False,8583,8538,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The current file already implements the optional maximum parameter and preserves the original behavior as required.
capped_advance-abandon-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,18,231,abandon,adapt,False,False,True,False,False,8648,8538,110,0,,,0,0,0.0,,,,,8000,8000,tail,0.027055516514406183,The previous edit was rejected for using an obscure ternary trick; this version uses a clear if-statement to preserve the invariant and support the maximum parameter.
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,16,201,adapt,adapt,True,True,True,True,False,8609,8508,101,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The file was updated with a minimum constraint, so I am rebasing to implement the required maximum constraint while preserving the existing revision constant."
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,17,201,adapt,abandon,False,False,False,False,False,8562,8508,54,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The current file implements a minimum constraint, not the requested maximum, so the task remains unfulfilled and requires a new approach."
capped_advance-adapt-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,18,201,adapt,adapt,True,True,True,True,False,8616,8508,108,0,,,0,0,0.0,,,,,8000,8000,tail,0.02362482369534556,"The current file implements a minimum clamp, but the task requires a maximum clamp; I am rebasing the edit to use the correct logic while preserving the existing revision constant."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,16,219,escalate,abandon,False,False,False,False,False,8570,8526,44,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,The current file already implements the requested optional maximum parameter and preserves the existing behavior.
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,17,219,escalate,escalate,True,True,False,True,False,8576,8526,50,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,"The current file implements subtraction instead of addition, violating the task's requirement to preserve ordinary positive and negative steps."
capped_advance-escalate-k8,rebuilt-action-crossed-corpus,8,1.0,2030,P1,P1,18,219,escalate,abandon,False,False,False,False,False,8575,8526,49,0,,,0,0,0.0,,,,,8000,8000,tail,0.025686136523574946,"The current file already implements the required `maximum` parameter and preserves the existing behavior, fulfilling the task."
casefold_counts-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2330,P1,P1,16,295,abandon,abandon,True,True,False,True,False,8680,8635,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.034163288940359006,"The current file already implements the requested case-insensitive counting feature, fulfilling the task."
casefold_counts-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2330,P1,P1,17,295,abandon,abandon,True,True,False,True,False,8680,8635,45,0,,,0,0,0.0,,,,,8000,8000,tail,0.034163288940359006,
casefold_counts-abandon-k8,rebuilt-action-crossed-corpus,8,0.625,2330,P1,P1,18,295,abandon,abandon,True,True,False,True,False,8681,8635,46,0,,,0,0,0.0,,,,,8000,8000,tail,0.034163288940359006,The current file already implements the required case-insensitive counting with the correct signature and invariant.
casefold_counts-adapt-k8,rebuilt-action-crossed-corpus,8,0.5,2330,P1,P1,16,235,adapt,adapt,True,True,True,True,False,8715,8575,140,0,,,0,0,0.0,,,,,8000,8000,tail,0.02740524781341108,Rebased the edit to include the new sorted_keys parameter and revision constant while implementing the required case-insensitive counting.
casefold_counts-adapt-k8,rebuilt-action-crossed-corpus,8,0.5,2330,P1,P1,17,235,adapt,adapt,True,True,True,True,False,8715,8575,140,0,,,0,0,0.0,,,,,8000,8000,tail,0.02740524781341108,Rebased the edit to include the new sorted_keys parameter and revision constant while preserving the requested case_insensitive logic.
