adjudication_id,pr_key,pr_url,file_path,resolution_evidence,human_route,human_confidence,reviewer_notes,exclude_reason
S3-001,AeyeOps/mgit#137,https://github.com/AeyeOps/mgit/pull/137,SECURITY.md,exact_base,,,,
S3-002,CHaerem/Glance#7,https://github.com/CHaerem/Glance/pull/7,.gitignore,exact_base,,,,
S3-003,codebuilderinc/codebuilder-app#3,https://github.com/codebuilderinc/codebuilder-app/pull/3,.github/workflows/eas-android-build.yml,exact_base,,,,
S3-004,mdresch/adpa#17,https://github.com/mdresch/adpa/pull/17,.gitignore,exact_base,,,,
S3-005,reown-com/reown-docs#581,https://github.com/reown-com/reown-docs/pull/581,appkit/next/core/components.mdx,exact_base,,,,
S3-006,riatzukiza/promethean#85,https://github.com/riatzukiza/promethean/pull/85,legacy/riatzukiza.github.io/headers/core.sibilant,exact_base,,,,
S3-007,thef4tdaddy/violet-vault#85,https://github.com/thef4tdaddy/violet-vault/pull/85,src/components/layout/Layout.jsx,exact_base,,,,
S3-008,AeyeOps/mgit#137,https://github.com/AeyeOps/mgit/pull/137,mgit/commands/bulk_operations.py,exact_base,,,,
S3-009,CHaerem/Glance#7,https://github.com/CHaerem/Glance/pull/7,README.md,exact_base,,,,
S3-010,codebuilderinc/codebuilder-app#3,https://github.com/codebuilderinc/codebuilder-app/pull/3,package-lock.json,exact_base,,,,
S3-011,Bryan-Roe-ai/semantic-kernel#757,https://github.com/Bryan-Roe-ai/semantic-kernel/pull/757,01-core-implementations/python/pyproject.toml,manual_or_combined,,,,
S3-012,MetaMask/metamask-extension#34098,https://github.com/MetaMask/metamask-extension/pull/34098,package.json,manual_or_combined,,,,
S3-013,codebuilderinc/codebuilder-app#3,https://github.com/codebuilderinc/codebuilder-app/pull/3,app/(tabs)/_layout.tsx,manual_or_combined,,,,
S3-014,ktorio/ktor#4915,https://github.com/ktorio/ktor/pull/4915,gradle/libs.versions.toml,manual_or_combined,,,,
S3-015,skalingclouds/ai-chatbot#4,https://github.com/skalingclouds/ai-chatbot/pull/4,components/message.tsx,manual_or_combined,,,,
S3-016,Bryan-Roe-ai/semantic-kernel#757,https://github.com/Bryan-Roe-ai/semantic-kernel/pull/757,01-core-implementations/python/samples/concepts/memory/data_models.py,manual_or_combined,,,,
S3-017,MetaMask/metamask-extension#34098,https://github.com/MetaMask/metamask-extension/pull/34098,ui/pages/bridge/quotes/__snapshots__/multichain-bridge-quote-card.test.tsx.snap,manual_or_combined,,,,
S3-018,codebuilderinc/codebuilder-app#3,https://github.com/codebuilderinc/codebuilder-app/pull/3,app/_layout.tsx,manual_or_combined,,,,
S3-019,Bryan-Roe-ai/semantic-kernel#757,https://github.com/Bryan-Roe-ai/semantic-kernel/pull/757,01-core-implementations/python/samples/concepts/search/bing_text_search_as_plugin.py,manual_or_combined,,,,
S3-020,MetaMask/metamask-extension#34098,https://github.com/MetaMask/metamask-extension/pull/34098,ui/pages/bridge/quotes/multichain-bridge-quote-card.test.tsx,manual_or_combined,,,,
S3-021,AzureAD/microsoft-authentication-library-for-js#7878,https://github.com/AzureAD/microsoft-authentication-library-for-js/pull/7878,.github/workflows/beachball-check.yml,exact_head,,,,
S3-022,Bryan-Roe-ai/semantic-kernel#757,https://github.com/Bryan-Roe-ai/semantic-kernel/pull/757,.github/dependabot.yml,exact_head,,,,
S3-023,Demothedread/lawyerfactory#6,https://github.com/Demothedread/lawyerfactory/pull/6,.gitignore,exact_head,,,,
S3-024,Extralit/extralit#101,https://github.com/Extralit/extralit/pull/101,.github/workflows/copilot-setup-steps.yml,exact_head,,,,
S3-025,KomodoPlatform/komodo-defi-sdk-flutter#140,https://github.com/KomodoPlatform/komodo-defi-sdk-flutter/pull/140,packages/komodo_defi_types/lib/src/types.dart,exact_head,,,,
S3-026,MetaMask/metamask-extension#34098,https://github.com/MetaMask/metamask-extension/pull/34098,attribution.txt,exact_head,,,,
S3-027,codebuilderinc/codebuilder-app#3,https://github.com/codebuilderinc/codebuilder-app/pull/3,app.config.js,exact_head,,,,
S3-028,ktorio/ktor#4915,https://github.com/ktorio/ktor/pull/4915,VERSION,exact_head,,,,
S3-029,riatzukiza/promethean#76,https://github.com/riatzukiza/promethean/pull/76,services/py/stt/whisper-npu/README.md,exact_head,,,,
S3-030,skalingclouds/ai-chatbot#4,https://github.com/skalingclouds/ai-chatbot/pull/4,components/artifact-messages.tsx,exact_head,,,,
