pr_key,repo_full_name,pr_number,agent,pr_base_oid,pr_head_oid,base_oid,head_oid,merge_commit_oid,merged_at,file_path,file_ext,num_regions_in_file,conflict_lines_in_file,head_last_touch_oid,base_last_touch_oid,repository_available,base_commit_available,head_commit_available,merge_commit_available,base_path_present,head_path_present,merge_path_present,base_blob_oid,head_blob_oid,merge_blob_oid,resolution_evidence
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,SECURITY.md,.md,0,0,3ac9f4ca5c145f4f517fab1ea5ebe171e9fe6548,3ac9f4ca5c145f4f517fab1ea5ebe171e9fe6548,True,True,True,True,True,False,True,4b33bf9d51bdaa9bfc517048652372a485f8ec22,,4b33bf9d51bdaa9bfc517048652372a485f8ec22,exact_base
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,mgit/commands/bulk_operations.py,.py,4,26,42171bb6aa172e97d975ae99b8403ec31126902c,42171bb6aa172e97d975ae99b8403ec31126902c,True,True,True,True,True,True,True,d2fe39a562a28fb06784ee823b24f46ffc357bfe,31690a366321cb5c0c7bf3a2e0fb28a9889aae6c,d2fe39a562a28fb06784ee823b24f46ffc357bfe,exact_base
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,mgit/monitoring/server.py,.py,0,0,75645baf60e2a0b890c72c27fe336407523fd8f3,7047965cb4f7f9af51d181988f36524a23c786e1,True,True,True,True,False,True,False,,c9e6e261564875425143bb4321e4b14e0f91d45c,,exact_base
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,pyproject.toml,.toml,1,5,7e3508c745ba79853ed7a8ef77ab1d2e8c4cb55c,7e3508c745ba79853ed7a8ef77ab1d2e8c4cb55c,True,True,True,True,True,True,True,99ecd08129eebccf509960daf9e3c9154ad343fb,c3eb3bb9375bd7b63e7e3cfe316024367ebf06fa,99ecd08129eebccf509960daf9e3c9154ad343fb,exact_base
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,.github/workflows/beachball-check.yml,.yml,1,5,fb872c69a729a48144c426ec7667c85464f3b3d0,fb872c69a729a48144c426ec7667c85464f3b3d0,True,True,True,True,True,True,True,e72a08d3e151798673b29330882a0dae1b4b28e8,2738a314a9ae5f0c24466a48f8ca6fd78e81b698,2738a314a9ae5f0c24466a48f8ca6fd78e81b698,exact_head
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,.pipelines/3p-e2e.yml,.yml,1,5,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,True,True,True,True,True,True,True,530f1c8e1f133825fe8211d7fb0984a4f22228ae,9e9a76c9d141e3964bf1f00896a8aa244948f650,9e9a76c9d141e3964bf1f00896a8aa244948f650,exact_head
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,CODEOWNERS,,1,10,f054cf608d2544858d8a3dbd02efd8b464ca862a,f054cf608d2544858d8a3dbd02efd8b464ca862a,True,True,True,True,True,True,True,a8d159e6cfc827e79b92f7f6d44e07ef6c8e7393,416b83c7c20bbdfbfc2a9b3c1e8a9cfb074c2ae2,416b83c7c20bbdfbfc2a9b3c1e8a9cfb074c2ae2,exact_head
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,extensions/msal-node-extensions/src/broker/NativeBrokerPlugin.ts,.ts,3,22,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,True,True,True,True,True,True,True,b38c6b85af5b717b557f0781430181cbd9e94a9a,fec9730c417997c4172ef699d420186c615b6a64,fec9730c417997c4172ef699d420186c615b6a64,exact_head
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,extensions/msal-node-extensions/test/broker/NativeBrokerPlugin.spec.ts,.ts,2,25,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,True,True,True,True,True,True,True,79c2ced173d6cd8385b2d2c462d77c1154378d6a,0b537f73495ae881e8be93bd6d8d3f8c18243fa0,0b537f73495ae881e8be93bd6d8d3f8c18243fa0,exact_head
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,lib/msal-angular/FAQ.md,.md,1,5,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,True,True,True,True,True,True,True,09cce4f971b7aab15d81b71ef467e69ed054a06f,9890d19d03ba66751589a4e1a56c5ca0e6e4c687,9890d19d03ba66751589a4e1a56c5ca0e6e4c687,exact_head
