pr_key,repo_full_name,pr_number,agent,pr_base_oid,pr_head_oid,base_oid,head_oid,merge_commit_oid,merged_at,file_path,file_ext,num_regions_in_file,conflict_lines_in_file,head_last_touch_oid,base_last_touch_oid
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,SECURITY.md,.md,0,0,3ac9f4ca5c145f4f517fab1ea5ebe171e9fe6548,3ac9f4ca5c145f4f517fab1ea5ebe171e9fe6548
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,mgit/commands/bulk_operations.py,.py,4,26,42171bb6aa172e97d975ae99b8403ec31126902c,42171bb6aa172e97d975ae99b8403ec31126902c
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,mgit/monitoring/server.py,.py,0,0,75645baf60e2a0b890c72c27fe336407523fd8f3,7047965cb4f7f9af51d181988f36524a23c786e1
AeyeOps/mgit#137,AeyeOps/mgit,137,OpenAI_Codex,7281cc9d72a2eaf994bc1cbd35925ccf85cfc08d,0e91b1c9c42059a7b152f3700ddf64f066771456,980d5d328027654d18eb888333ce83b631d05bff,0e91b1c9c42059a7b152f3700ddf64f066771456,0eedc13e24fa1bf7ffe23a56ab06e9e63232bdfc,2025-07-31T03:27:41Z,pyproject.toml,.toml,1,5,7e3508c745ba79853ed7a8ef77ab1d2e8c4cb55c,7e3508c745ba79853ed7a8ef77ab1d2e8c4cb55c
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,.github/workflows/beachball-check.yml,.yml,1,5,fb872c69a729a48144c426ec7667c85464f3b3d0,fb872c69a729a48144c426ec7667c85464f3b3d0
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,.pipelines/3p-e2e.yml,.yml,1,5,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,CODEOWNERS,,1,10,f054cf608d2544858d8a3dbd02efd8b464ca862a,f054cf608d2544858d8a3dbd02efd8b464ca862a
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,extensions/msal-node-extensions/src/broker/NativeBrokerPlugin.ts,.ts,3,22,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,dc60b43a3a5619f510da62d02be48bcddd3aaf5a
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,extensions/msal-node-extensions/test/broker/NativeBrokerPlugin.spec.ts,.ts,2,25,dc60b43a3a5619f510da62d02be48bcddd3aaf5a,dc60b43a3a5619f510da62d02be48bcddd3aaf5a
AzureAD/microsoft-authentication-library-for-js#7878,AzureAD/microsoft-authentication-library-for-js,7878,Copilot,919a7b43833b1c57c0bb256e6a156f1aa0817ee0,5426b7dfd73ab8e7000c8342ad802845bc78002e,fe1eb8f81416603037df88de634a270617fd381c,5426b7dfd73ab8e7000c8342ad802845bc78002e,7fe97cf91a66df288edee99624e1dc5d32496977,2025-08-15T17:47:31Z,lib/msal-angular/FAQ.md,.md,1,5,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413,a2d31a4554fd94544ba3ea7f0b7c0320d6ce3413
